# step Etot Epot T p 
840000 -4311.1415 -5235.0552 293.5193 -674.5101 
845000 -4293.9958 -5189.0798 284.3603 -883.9566 
850000 -4273.2265 -5221.941 301.3983 188.0465 
855000 -4286.1137 -5206.4185 292.3728 478.491 
860000 -4313.7029 -5229.4683 290.9306 96.3197 
865000 -4287.976 -5210.8875 293.2009 -1032.0082 
870000 -4218.365 -5168.7385 301.9253 25.7766 
875000 -4245.0289 -5184.1456 298.3492 26.0394 
880000 -4237.5664 -5185.5783 301.1751 -656.7845 
885000 -4306.5675 -5229.5779 293.2323 -94.1876 
890000 -4242.3475 -5192.0632 301.7164 -61.8646 
895000 -4267.8986 -5199.9293 296.0979 25.9714 
900000 -4269.92 -5200.9183 295.77 -474.2662 
905000 -4292.2027 -5239.7248 301.0194 -364.5472 
910000 -4258.6687 -5236.18 310.5468 -403.6372 
915000 -4219.4873 -5164.3603 300.1779 -349.9621 
920000 -4215.4055 -5194.2434 310.9682 -18.3012 
925000 -4349.6652 -5247.0364 285.087 11.2018 
930000 -4267.8032 -5207.1615 298.4259 -373.2557 
935000 -4273.2871 -5207.6845 296.8498 -517.7373 
940000 -4276.503 -5219.1699 299.477 -394.3037 
945000 -4285.172 -5260.9317 309.9903 -828.8821 
950000 -4265.8017 -5213.0866 300.9441 -357.5614 
955000 -4257.2541 -5199.4965 299.3422 -551.0808 
960000 -4261.9678 -5200.7896 298.2554 -192.073 
965000 -4242.3751 -5204.6417 305.7036 -297.5289 
970000 -4279.2222 -5241.833 305.813 -559.5367 
975000 -4207.7484 -5177.8703 308.1992 -113.5287 
980000 -4211.9301 -5137.1687 293.9402 188.8673 
985000 -4208.2181 -5174.799 307.0743 -201.5961 
990000 -4240.8059 -5184.1202 299.6827 878.432 
995000 -4319.9728 -5273.8469 303.0374 -685.3764 
1000000 -4311.3205 -5247.5526 297.4327 -962.9278 
1005000 -4302.222 -5247.2564 300.2291 -187.7624 
1010000 -4241.2459 -5201.1872 304.9649 -366.2265 
1015000 -4230.4151 -5162.4401 296.0962 -546.5052 
1020000 -4292.8038 -5260.1249 307.3094 -670.9216 
1025000 -4264.9959 -5190.687 294.0839 -79.6104 
1030000 -4255.5335 -5211.5739 303.7257 90.825 
1035000 -4291.642 -5235.0548 299.714 -555.1278 
1040000 -4368.8768 -5271.6824 286.8134 -986.81 
1045000 -4242.6569 -5213.8805 308.5492 -472.635 
1050000 -4237.931 -5186.276 301.2809 128.3078 
1055000 -4252.9381 -5221.4891 307.7002 -320.6249 
1060000 -4331.6484 -5231.7114 285.9421 -262.5079 
1065000 -4323.0305 -5246.1566 293.2691 -597.9618 
1070000 -4314.322 -5204.1525 282.6913 -168.261 
1075000 -4236.5565 -5229.0763 315.3148 -829.2318 
1080000 -4270.2631 -5187.7936 291.4914 54.747 
1085000 -4313.3174 -5229.7728 291.1498 -411.7871 
1090000 -4216.5095 -5230.6766 322.192 69.8961 
1095000 -4285.0842 -5219.2089 296.7632 204.6347 
1100000 -4265.1862 -5213.126 301.1522 -601.7861 
1105000 -4210.5353 -5169.1059 304.5295 -242.4195 
1110000 -4262.5676 -5170.2934 288.3765 -374.1376 
1115000 -4273.8127 -5171.7097 285.254 117.2814 
1120000 -4214.9428 -5165.6786 302.0404 26.4331 
1125000 -4241.3409 -5199.0295 304.2493 -231.3722 
1130000 -4366.5292 -5269.0131 286.7112 -602.2979 
1135000 -4196.1506 -5192.2643 316.4566 86.5757 
1140000 -4257.5224 -5213.4478 303.6891 -189.7891 
1145000 -4256.1983 -5217.2923 305.3311 196.8108 
1150000 -4298.763 -5224.2654 294.024 -422.073 
1155000 -4302.4126 -5250.6553 301.2484 -91.3225 
1160000 -4319.7777 -5238.749 291.9491 -109.426 
1165000 -4259.4803 -5237.9999 310.8671 724.5842 
1170000 -4211.9079 -5186.3973 309.5867 646.4272 
1175000 -4251.9719 -5199.8762 301.1409 -356.8512 
1180000 -4328.3558 -5245.661 291.4198 -740.1485 
1185000 -4297.4263 -5207.012 288.9674 56.8287 
1190000 -4260.2886 -5196.7068 297.4918 293.2307 
1195000 -4237.7307 -5192.8909 303.446 -209.1518 
1200000 -4202.2333 -5200.6457 317.1869 -120.9695 
1205000 -4253.5183 -5184.1496 295.6534 -362.5484 
1210000 -4290.9549 -5212.7118 292.8341 -1068.8217 
1215000 -4201.209 -5153.0624 302.3955 -9.9123 
