# frame +z -z 
613 129 178 
614 129 178 
615 129 178 
616 129 178 
617 129 179 
618 130 179 
619 130 180 
620 130 180 
621 130 180 
622 130 180 
623 131 182 
624 131 182 
625 131 182 
626 131 183 
627 131 183 
628 131 183 
629 131 183 
630 131 183 
631 131 183 
632 131 184 
633 131 185 
634 131 185 
635 131 185 
636 131 187 
637 131 187 
638 131 187 
639 131 188 
640 131 190 
641 131 191 
642 131 192 
643 131 193 
644 131 193 
645 131 193 
646 131 194 
647 131 194 
648 131 194 
649 131 194 
650 131 194 
651 131 194 
652 131 194 
653 131 194 
654 131 195 
655 131 195 
656 131 195 
657 131 197 
658 131 197 
659 132 198 
660 133 200 
661 133 200 
662 134 200 
663 134 200 
664 135 200 
665 135 200 
666 135 200 
667 136 200 
668 136 200 
669 136 200 
670 136 200 
671 136 201 
672 136 202 
673 136 202 
674 136 202 
675 136 202 
676 136 202 
677 136 203 
678 138 205 
679 138 206 
680 138 207 
681 138 207 
682 138 207 
683 138 207 
684 138 209 
685 138 209 
686 138 209 
687 138 209 
688 138 210 
689 138 211 
690 138 214 
691 138 217 
692 138 217 
693 138 217 
694 138 217 
695 138 218 
696 138 218 
697 138 218 
698 138 218 
699 139 219 
700 139 219 
701 139 220 
702 139 220 
703 139 222 
704 139 222 
705 139 222 
706 140 222 
707 141 222 
708 141 222 
709 141 222 
710 141 222 
711 141 222 
712 141 222 
713 142 222 
714 142 222 
715 142 222 
716 142 222 
717 142 222 
718 142 222 
719 143 222 
720 145 222 
721 148 222 
722 148 222 
723 148 222 
724 149 222 
725 150 222 
726 150 222 
727 150 222 
728 150 222 
729 150 222 
730 150 222 
731 150 222 
732 151 222 
733 152 222 
734 152 222 
735 153 222 
736 153 222 
737 153 222 
738 153 222 
739 153 222 
740 153 222 
741 153 222 
742 153 222 
743 153 222 
744 153 222 
745 153 222 
746 153 222 
747 153 222 
748 153 222 
749 153 222 
750 153 222 
751 153 222 
752 153 222 
753 153 222 
754 153 222 
755 153 224 
756 153 224 
757 154 224 
758 154 224 
759 154 224 
760 154 224 
761 154 224 
762 154 224 
763 154 224 
764 154 224 
765 154 224 
766 154 224 
767 154 224 
768 154 225 
769 154 225 
770 154 226 
771 154 226 
772 154 227 
773 154 228 
774 154 228 
775 154 228 
776 154 228 
777 154 228 
778 154 229 
779 154 229 
780 154 230 
781 154 230 
782 154 230 
783 154 230 
784 154 230 
785 154 230 
786 154 230 
787 154 230 
788 154 231 
789 154 231 
790 155 231 
791 155 231 
792 155 232 
793 155 232 
794 156 232 
795 156 232 
796 156 232 
797 156 232 
798 156 232 
799 157 232 
800 157 232 
801 158 232 
802 158 234 
803 159 234 
804 159 234 
805 160 234 
806 161 234 
807 161 234 
808 161 234 
809 162 234 
810 162 234 
811 162 234 
812 162 234 
813 162 235 
814 162 235 
815 162 236 
816 162 236 
817 162 236 
818 162 236 
819 162 236 
820 162 237 
821 162 239 
822 162 240 
823 162 240 
824 162 240 
825 163 240 
826 163 240 
827 163 240 
828 165 240 
829 165 240 
830 166 240 
831 167 241 
832 167 243 
833 167 243 
834 168 243 
835 168 243 
836 169 243 
837 171 243 
838 171 243 
839 172 243 
840 173 243 
841 173 243 
842 174 243 
843 176 243 
844 176 243 
845 176 243 
846 176 243 
847 176 243 
848 176 243 
849 177 243 
850 177 243 
851 177 243 
852 177 243 
853 177 243 
854 177 243 
855 177 243 
856 177 243 
857 177 243 
858 177 243 
859 177 243 
860 177 245 
861 177 245 
862 177 245 
863 177 246 
864 177 246 
865 177 248 
866 177 248 
867 177 248 
868 177 248 
869 177 248 
870 177 249 
871 178 249 
872 178 249 
873 179 249 
874 179 249 
875 180 249 
876 181 249 
877 181 249 
878 181 249 
879 181 249 
880 181 249 
881 181 249 
882 181 249 
883 181 249 
884 182 249 
885 183 249 
886 183 249 
887 184 250 
888 187 250 
889 188 250 
890 188 250 
891 189 250 
892 189 250 
893 189 250 
894 189 250 
895 190 250 
896 190 250 
897 190 250 
898 190 250 
899 190 250 
900 191 250 
901 192 250 
902 193 250 
903 193 250 
904 193 250 
905 194 250 
906 194 250 
907 194 250 
908 194 251 
909 194 251 
910 194 251 
911 194 251 
912 194 251 
913 194 251 
914 194 251 
915 194 251 
916 194 253 
917 194 253 
918 194 253 
919 194 253 
920 194 253 
921 194 254 
922 194 254 
923 194 254 
924 194 254 
925 194 255 
926 194 256 
927 194 256 
928 194 256 
929 194 256 
930 194 256 
931 194 256 
932 194 256 
933 194 256 
934 195 256 
935 196 256 
936 197 257 
937 197 257 
938 197 257 
939 197 257 
940 197 257 
941 197 257 
942 197 257 
943 197 257 
944 197 257 
945 197 257 
946 197 257 
947 197 257 
948 197 257 
949 197 257 
950 197 257 
951 197 257 
952 197 257 
953 197 257 
954 197 257 
955 197 257 
956 197 257 
957 197 257 
958 197 257 
959 197 257 
960 197 257 
961 197 257 
962 197 257 
963 197 257 
964 197 257 
965 198 257 
966 198 257 
967 198 257 
968 198 258 
969 198 258 
970 199 258 
971 199 259 
972 199 259 
973 199 260 
974 200 260 
975 200 261 
976 200 261 
977 200 261 
978 200 261 
979 200 261 
980 200 261 
981 200 261 
982 200 261 
983 200 261 
984 200 261 
985 200 261 
986 200 262 
987 200 262 
988 200 262 
989 200 262 
990 200 262 
991 200 262 
992 200 262 
993 200 262 
994 200 263 
995 202 263 
996 202 263 
997 202 263 
998 202 263 
999 202 263 
1000 202 263 
1001 202 263 
1002 202 263 
1003 202 263 
1004 202 263 
1005 203 263 
1006 203 264 
1007 203 264 
1008 203 265 
1009 206 266 
1010 206 266 
1011 206 267 
1012 206 268 
1013 206 268 
1014 206 268 
1015 206 268 
1016 206 268 
1017 206 268 
1018 206 268 
1019 206 268 
1020 206 268 
1021 206 268 
1022 206 268 
1023 206 268 
1024 206 268 
1025 206 268 
1026 206 268 
1027 206 268 
1028 206 269 
1029 206 270 
1030 206 270 
1031 208 271 
1032 209 271 
1033 211 272 
1034 212 272 
1035 213 272 
1036 213 272 
1037 213 272 
1038 213 272 
1039 213 272 
1040 214 272 
1041 214 272 
1042 214 272 
1043 214 272 
1044 214 272 
1045 214 272 
1046 214 272 
1047 214 272 
1048 215 272 
1049 216 272 
1050 217 272 
1051 217 272 
1052 218 272 
1053 218 272 
1054 218 272 
1055 218 272 
1056 218 272 
1057 218 273 
1058 218 273 
1059 218 274 
1060 218 274 
1061 219 274 
1062 219 274 
1063 220 274 
1064 221 274 
1065 223 274 
1066 224 274 
1067 225 274 
1068 225 274 
1069 227 274 
1070 227 274 
1071 227 274 
1072 228 274 
1073 229 274 
1074 230 274 
1075 232 274 
1076 232 274 
1077 232 274 
1078 232 274 
1079 232 274 
1080 232 274 
1081 232 274 
1082 232 274 
1083 232 275 
1084 232 275 
1085 232 276 
1086 232 276 
1087 232 276 
1088 232 277 
1089 232 278 
1090 232 278 
1091 232 278 
1092 232 278 
1093 232 278 
1094 233 278 
1095 233 278 
1096 233 278 
1097 233 278 
1098 234 278 
1099 234 278 
1100 234 278 
1101 234 279 
1102 234 279 
1103 235 281 
1104 236 281 
1105 236 281 
1106 236 281 
1107 236 281 
1108 237 281 
1109 237 281 
1110 237 281 
1111 237 281 
1112 237 281 
1113 237 281 
1114 237 281 
1115 237 282 
1116 237 283 
1117 237 283 
1118 237 283 
1119 238 283 
1120 238 283 
1121 238 283 
1122 238 283 
1123 238 283 
1124 238 283 
1125 238 283 
1126 238 283 
1127 238 283 
1128 238 284 
1129 238 284 
1130 238 284 
1131 238 284 
1132 238 285 
1133 238 285 
1134 238 285 
1135 238 287 
1136 238 288 
1137 238 288 
1138 238 288 
1139 238 288 
1140 239 288 
1141 239 288 
1142 239 288 
1143 241 288 
1144 241 288 
1145 241 288 
1146 241 288 
1147 241 288 
1148 241 288 
1149 241 288 
1150 241 288 
1151 241 288 
1152 241 288 
1153 241 288 
1154 241 289 
1155 242 291 
1156 242 293 
1157 242 294 
1158 242 294 
1159 242 294 
1160 243 296 
1161 243 298 
1162 244 300 
1163 244 300 
1164 244 300 
1165 244 300 
1166 244 300 
1167 244 301 
1168 244 301 
1169 244 301 
1170 244 301 
1171 244 301 
1172 244 301 
1173 244 301 
1174 244 302 
1175 244 302 
1176 244 302 
1177 244 302 
1178 244 302 
1179 244 302 
1180 244 302 
1181 244 302 
1182 244 302 
1183 244 302 
1184 244 304 
1185 244 305 
1186 244 305 
1187 244 305 
1188 244 305 
1189 244 305 
1190 244 305 
1191 244 305 
1192 244 305 
1193 245 305 
1194 246 305 
1195 247 305 
1196 247 305 
1197 247 305 
1198 247 305 
1199 247 305 
1200 247 305 
1201 247 305 
1202 248 305 
1203 248 305 
1204 248 305 
1205 248 305 
1206 248 305 
1207 249 305 
1208 249 305 
1209 249 305 
1210 249 305 
1211 250 305 
1212 250 305 
1213 250 305 
1214 250 305 
1215 250 305 
1216 250 305 
1217 250 305 
1218 250 305 
1219 250 305 
1220 250 305 
1221 250 305 
1222 250 305 
1223 251 305 
1224 251 305 
1225 251 305 
1226 251 307 
1227 251 307 
1228 251 307 
1229 252 307 
1230 252 307 
1231 252 307 
1232 252 307 
1233 252 307 
1234 252 307 
1235 252 307 
1236 252 307 
1237 252 307 
1238 252 307 
1239 252 307 
1240 252 307 
1241 252 307 
1242 252 307 
1243 252 307 
1244 252 307 
1245 252 307 
1246 252 307 
1247 252 307 
1248 252 307 
1249 252 307 
1250 252 308 
1251 252 308 
1252 252 308 
1253 252 308 
1254 252 308 
1255 253 308 
1256 254 308 
1257 255 308 
1258 255 308 
1259 255 308 
1260 257 308 
1261 257 309 
1262 257 309 
1263 257 310 
1264 259 310 
1265 259 312 
1266 260 313 
1267 260 313 
1268 261 313 
1269 261 313 
1270 261 314 
1271 261 315 
1272 262 315 
1273 263 315 
1274 264 315 
1275 264 315 
1276 264 316 
1277 264 316 
1278 264 316 
1279 264 316 
1280 265 316 
1281 265 316 
1282 265 316 
1283 265 316 
1284 265 316 
1285 267 316 
1286 267 316 
1287 267 316 
1288 269 316 
1289 271 316 
1290 272 316 
1291 272 316 
