# step Etot Epot T p 
775000 -4235.9387 -5224.2635 313.9821 -441.8488 
780000 -4311.8582 -5256.2811 300.0349 -197.2797 
785000 -4288.3748 -5220.2609 296.052 -723.619 
790000 -4301.1523 -5208.7332 288.3305 -330.7944 
795000 -4355.0264 -5266.8385 289.6747 -615.7402 
800000 -4314.4004 -5233.5218 291.9968 -507.3351 
805000 -4250.6355 -5214.1493 306.0999 -325.4762 
810000 -4280.0661 -5233.5415 302.9108 136.1638 
815000 -4229.1415 -5142.9685 290.3148 324.9495 
820000 -4275.76 -5234.6954 304.6454 -956.842 
825000 -4233.7119 -5167.4588 296.6432 89.7236 
830000 -4290.9348 -5209.38 291.782 -169.0878 
835000 -4225.4166 -5176.7388 302.2267 -284.8107 
840000 -4278.1345 -5212.7278 296.9121 -287.882 
845000 -4178.2695 -5152.86 309.6189 -177.9502 
850000 -4243.6758 -5178.3035 296.923 -438.1845 
855000 -4311.6107 -5239.5425 294.7958 -426.3358 
860000 -4320.4146 -5236.0251 290.8814 -609.5345 
865000 -4270.5913 -5213.1744 299.4504 -299.0276 
870000 -4241.8833 -5202.4248 305.1556 -82.5727 
875000 -4279.0702 -5210.2417 295.825 -623.725 
880000 -4276.168 -5213.9645 297.9297 -203.6714 
885000 -4304.0035 -5217.2444 290.1286 -754.6161 
890000 -4307.6349 -5235.4165 294.748 -508.4708 
895000 -4284.6391 -5220.5099 297.3179 788.024 
900000 -4241.7319 -5185.5887 299.855 -347.2446 
905000 -4264.5977 -5177.7843 290.1114 -305.4642 
910000 -4245.0231 -5205.367 305.0928 -480.4204 
915000 -4254.2623 -5227.2841 309.1205 -604.2563 
920000 -4221.5532 -5202.1826 311.5373 -282.3139 
925000 -4214.7333 -5164.4704 301.7231 -532.6245 
930000 -4220.9306 -5158.0016 297.6992 171.1103 
935000 -4269.3738 -5204.5364 297.093 257.5407 
940000 -4285.8865 -5232.5603 300.7499 -647.8448 
945000 -4258.7067 -5195.6998 297.6745 61.804 
950000 -4244.5712 -5206.7042 305.6612 243.258 
955000 -4299.6621 -5239.5387 298.5905 -464.5453 
960000 -4249.9791 -5191.3873 299.0771 40.2934 
965000 -4247.8619 -5197.2765 301.6207 -399.4347 
970000 -4293.9025 -5172.9272 279.2584 919.9901 
975000 -4236.1854 -5164.3305 294.8635 -726.2622 
980000 -4176.2979 -5156.2604 311.3255 -141.0836 
985000 -4222.0303 -5207.3956 313.0419 -214.7778 
990000 -4268.4502 -5246.6807 310.7752 -396.1586 
995000 -4225.1197 -5203.7408 310.8993 -583.1809 
1000000 -4206.9697 -5144.4027 297.8142 -715.2182 
1005000 -4328.4465 -5244.0513 290.8796 513.2126 
1010000 -4213.4651 -5189.2119 309.9862 -1004.8116 
1015000 -4265.3078 -5198.2102 296.3749 -294.3089 
1020000 -4298.0799 -5247.3603 301.578 -415.7304 
1025000 -4263.2903 -5204.0472 298.8702 -584.0066 
1030000 -4244.2991 -5185.2486 298.9314 -52.5879 
1035000 -4298.3218 -5231.0559 296.3214 -359.957 
1040000 -4313.8832 -5267.3937 302.9219 -241.9742 
1045000 -4275.1082 -5236.9011 305.5532 -186.7373 
1050000 -4191.4901 -5173.2932 311.9102 -0.4081 
1055000 -4241.5731 -5168.2088 294.384 -1.7561 
1060000 -4188.8251 -5165.9155 310.4131 -270.843 
1065000 -4251.7183 -5221.4066 308.0615 145.879 
1070000 -4220.1736 -5164.0242 299.8531 -220.6389 
1075000 -4262.1597 -5186.5265 293.6632 -356.5707 
1080000 -4259.3772 -5234.6939 309.8495 -274.1507 
1085000 -4254.4926 -5166.4001 289.705 397.7641 
1090000 -4266.6082 -5215.9535 301.5987 -330.0643 
1095000 -4308.6587 -5226.5622 291.6099 -326.7533 
1100000 -4286.2515 -5259.1563 309.0833 -221.5737 
1105000 -4249.6251 -5221.4716 308.7471 -614.4563 
1110000 -4258.2278 -5263.2204 319.2773 -602.3719 
1115000 -4289.5717 -5254.6747 306.6048 -892.103 
1120000 -4247.119 -5190.9192 299.837 -922.4871 
1125000 -4246.066 -5210.9713 306.5419 -83.5512 
1130000 -4263.0103 -5203.2419 298.7033 122.0491 
1135000 -4234.5905 -5155.9855 292.7191 -342.4349 
1140000 -4278.1776 -5189.2969 289.4546 -312.3311 
1145000 -4255.754 -5196.7435 298.9441 103.9434 
1150000 -4251.1502 -5215.9621 306.5123 -147.9961 
1155000 -4212.4845 -5190.513 310.7111 -421.3788 
1160000 -4214.0092 -5171.5181 304.1922 -896.1887 
1165000 -4290.892 -5206.4024 290.8496 -213.9518 
1170000 -4237.493 -5185.0974 301.0456 -533.1053 
1175000 -4244.1325 -5187.9268 299.8352 -121.9431 
1180000 -4289.2862 -5202.9261 290.2554 -419.5182 
1185000 -4201.014 -5145.7839 300.1451 -193.4419 
1190000 -4218.2138 -5158.0336 298.5725 -306.456 
1195000 -4267.5349 -5210.7901 299.6639 -327.3282 
1200000 -4265.5646 -5246.3455 311.5855 -187.1543 
1205000 -4266.6855 -5213.5729 300.8178 140.0481 
1210000 -4238.3724 -5174.6269 297.4398 -83.1495 
1215000 -4265.0723 -5204.2909 298.3815 -410.3994 
1220000 -4300.3342 -5233.5011 296.4589 -365.8082 
1225000 -4216.4155 -5154.293 297.9554 -40.969 
1230000 -4241.555 -5189.7316 301.2274 -357.6623 
1235000 -4315.4735 -5234.0609 291.8272 -29.8697 
1240000 -4240.9375 -5158.4207 291.4763 31.2915 
1245000 -4309.8789 -5268.8251 304.6488 -310.5355 
1250000 -4278.9976 -5228.411 301.6203 -568.2819 
1255000 -4278.4521 -5174.6222 284.7054 -1205.354 
1260000 -4271.4175 -5215.3354 299.8744 -369.6224 
1265000 -4367.2081 -5252.7208 281.3196 -433.9922 
1270000 -4313.6026 -5226.7734 290.1063 -384.3002 
1275000 -4219.2106 -5167.439 301.2439 4.3446 
1280000 -4243.3048 -5187.1235 299.8429 -437.8572 
1285000 -4308.4956 -5221.8683 290.1705 109.113 
1290000 -4376.3941 -5259.6739 280.6102 -967.7565 
1295000 -4367.7782 -5262.7295 284.3182 -865.8765 
1300000 -4199.31 -5170.0775 308.4043 -568.7685 
1305000 -4250.5045 -5199.7819 301.5771 -348.7807 
1310000 -4184.6457 -5124.5451 298.5978 9.0313 
1315000 -4233.0292 -5176.5063 299.7344 575.6173 
1320000 -4274.7876 -5241.6788 307.1728 563.0067 
1325000 -4296.8753 -5220.505 293.4291 -424.0808 
1330000 -4203.9217 -5167.9274 306.2561 -663.4089 
1335000 -4221.0583 -5190.8397 308.0911 288.8173 
1340000 -4226.2165 -5173.1032 300.8176 -828.5237 
1345000 -4259.3908 -5176.9334 291.4952 -186.914 
1350000 -4276.5635 -5182.8785 287.9283 -89.9638 
1355000 -4244.3875 -5179.4586 297.0639 120.3183 
1360000 -4249.9712 -5174.6961 293.777 -568.8134 
1365000 -4240.9191 -5191.4191 301.9655 -152.6469 
1370000 -4252.4682 -5200.8559 301.2944 -275.5402 
1375000 -4303.0434 -5268.1471 306.605 -419.6152 
1380000 -4244.7853 -5170.2538 294.0132 175.046 
1385000 -4330.3943 -5235.2755 287.4728 -183.7008 
